,open_covid_region_code,date,hospitalized_new
247,FR-05,2020-08-13,3.0
248,FR-05,2020-08-20,2.0
249,FR-05,2020-08-27,3.0
250,FR-05,2020-09-03,6.0
251,FR-05,2020-09-10,5.0
252,FR-05,2020-09-17,4.0
253,FR-05,2020-09-24,9.0
254,FR-05,2020-10-01,2.0
255,FR-06,2020-03-19,104.0
256,FR-06,2020-03-26,150.0
257,FR-06,2020-04-02,227.0
258,FR-06,2020-04-09,145.0
259,FR-06,2020-04-16,117.0
260,FR-06,2020-04-23,68.0
261,FR-06,2020-04-30,59.0
262,FR-06,2020-05-07,47.0
263,FR-06,2020-05-14,24.0
264,FR-06,2020-05-21,16.0
265,FR-06,2020-05-28,10.0
266,FR-06,2020-06-04,13.0
267,FR-06,2020-06-11,7.0
268,FR-06,2020-06-18,8.0
269,FR-06,2020-06-25,2.0
270,FR-06,2020-07-02,2.0
271,FR-06,2020-07-09,5.0
272,FR-06,2020-07-16,14.0
273,FR-06,2020-07-23,15.0
274,FR-06,2020-07-30,25.0
275,FR-06,2020-08-06,23.0
276,FR-06,2020-08-13,45.0
277,FR-06,2020-08-20,69.0
278,FR-06,2020-08-27,53.0
279,FR-06,2020-09-03,84.0
280,FR-06,2020-09-10,67.0
281,FR-06,2020-09-17,97.0
282,FR-06,2020-09-24,56.0
283,FR-06,2020-10-01,10.0
284,FR-07,2020-03-19,81.0
285,FR-07,2020-03-26,133.0
286,FR-07,2020-04-02,84.0
287,FR-07,2020-04-09,48.0
288,FR-07,2020-04-16,41.0
289,FR-07,2020-04-23,91.0
290,FR-07,2020-04-30,95.0
291,FR-07,2020-05-07,38.0
292,FR-07,2020-05-14,24.0
293,FR-07,2020-05-21,15.0
294,FR-07,2020-05-28,6.0
295,FR-07,2020-06-04,4.0
296,FR-07,2020-06-11,2.0
297,FR-07,2020-06-18,1.0
298,FR-07,2020-06-25,0.0
299,FR-07,2020-07-02,2.0
300,FR-07,2020-07-09,7.0
301,FR-07,2020-07-16,2.0
302,FR-07,2020-07-23,0.0
303,FR-07,2020-07-30,2.0
304,FR-07,2020-08-06,10.0
305,FR-07,2020-08-13,3.0
306,FR-07,2020-08-20,7.0
307,FR-07,2020-08-27,9.0
308,FR-07,2020-09-03,2.0
309,FR-07,2020-09-10,11.0
310,FR-07,2020-09-17,10.0
311,FR-07,2020-09-24,2.0
312,FR-07,2020-10-01,1.0
313,FR-08,2020-03-19,7.0
314,FR-08,2020-03-26,55.0
315,FR-08,2020-04-02,60.0
316,FR-08,2020-04-09,62.0
317,FR-08,2020-04-16,51.0
318,FR-08,2020-04-23,22.0
319,FR-08,2020-04-30,21.0
320,FR-08,2020-05-07,18.0
321,FR-08,2020-05-14,44.0
322,FR-08,2020-05-21,5.0
323,FR-08,2020-05-28,7.0
324,FR-08,2020-06-04,9.0
325,FR-08,2020-06-11,6.0
326,FR-08,2020-06-18,0.0
327,FR-08,2020-06-25,0.0
328,FR-08,2020-07-02,1.0
329,FR-08,2020-07-09,1.0
330,FR-08,2020-07-16,0.0
331,FR-08,2020-07-23,4.0
332,FR-08,2020-07-30,2.0
333,FR-08,2020-08-06,0.0
334,FR-08,2020-08-13,2.0
335,FR-08,2020-08-20,2.0
336,FR-08,2020-08-27,2.0
337,FR-08,2020-09-03,2.0
338,FR-08,2020-09-10,10.0
339,FR-08,2020-09-17,6.0
340,FR-08,2020-09-24,5.0
341,FR-08,2020-10-01,2.0
342,FR-09,2020-03-19,9.0
343,FR-09,2020-03-26,11.0
344,FR-09,2020-04-02,12.0
345,FR-09,2020-04-09,5.0
346,FR-09,2020-04-16,3.0
347,FR-09,2020-04-23,2.0
348,FR-09,2020-04-30,0.0
349,FR-09,2020-05-07,0.0
350,FR-09,2020-05-14,2.0
351,FR-09,2020-05-21,1.0
352,FR-09,2020-05-28,0.0
353,FR-09,2020-06-04,0.0
354,FR-09,2020-06-11,0.0
355,FR-09,2020-06-18,0.0
356,FR-09,2020-06-25,0.0
357,FR-09,2020-07-02,0.0
358,FR-09,2020-07-09,0.0
359,FR-09,2020-07-16,0.0
360,FR-09,2020-07-23,0.0
361,FR-09,2020-07-30,0.0
362,FR-09,2020-08-06,0.0
363,FR-09,2020-08-13,1.0
364,FR-09,2020-08-20,0.0
365,FR-09,2020-08-27,1.0
366,FR-09,2020-09-03,0.0
367,FR-09,2020-09-10,4.0
368,FR-09,2020-09-17,4.0
369,FR-09,2020-09-24,2.0
370,FR-09,2020-10-01,1.0
371,FR-10,2020-03-19,52.0
372,FR-10,2020-03-26,74.0
373,FR-10,2020-04-02,125.0
374,FR-10,2020-04-09,306.0
375,FR-10,2020-04-16,97.0
376,FR-10,2020-04-23,131.0
377,FR-10,2020-04-30,80.0
378,FR-10,2020-05-07,36.0
379,FR-10,2020-05-14,25.0
380,FR-10,2020-05-21,11.0
381,FR-10,2020-05-28,7.0
382,FR-10,2020-06-04,5.0
383,FR-10,2020-06-11,7.0
384,FR-10,2020-06-18,3.0
385,FR-10,2020-06-25,4.0
386,FR-10,2020-07-02,2.0
387,FR-10,2020-07-09,1.0
388,FR-10,2020-07-16,5.0
389,FR-10,2020-07-23,5.0
390,FR-10,2020-07-30,1.0
391,FR-10,2020-08-06,6.0
392,FR-10,2020-08-13,7.0
393,FR-10,2020-08-20,5.0
394,FR-10,2020-08-27,2.0
395,FR-10,2020-09-03,10.0
396,FR-10,2020-09-10,1.0
397,FR-10,2020-09-17,16.0
398,FR-10,2020-09-24,7.0
399,FR-10,2020-10-01,1.0
400,FR-11,2020-03-19,67.0
401,FR-11,2020-03-26,115.0
402,FR-11,2020-04-02,78.0
403,FR-11,2020-04-09,54.0
404,FR-11,2020-04-16,34.0
405,FR-11,2020-04-23,21.0
406,FR-11,2020-04-30,21.0
407,FR-11,2020-05-07,12.0
408,FR-11,2020-05-14,17.0
